ダウンロードした時刻：2019/11/19 11:05:18,,,,,,,,,,,,,
,,,,,,,,,,,,,
,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2017/11/18,5.4,8,1,8.3,8,1,0.9,8,1,0,1,8,1
2017/11/19,-1.7,8,1,0.9,8,1,-5,8,1,9,0,8,1
2017/11/20,-2.4,8,1,0.5,8,1,-4.8,8,1,8,0,8,1
2017/11/21,-1.3,8,1,0.4,8,1,-3,8,1,0,1,8,1
2017/11/22,5.6,8,1,9.1,8,1,-1.6,8,1,0,1,8,1
2017/11/23,5,8,1,8.6,8,1,-0.6,8,1,0,1,8,1
2017/11/24,-1.1,8,1,0.9,8,1,-2.3,8,1,26,0,8,1
2017/11/25,-1.5,8,1,0.5,8,1,-3.3,8,1,9,0,8,1
2017/11/26,2,8,1,4.5,8,1,-1.8,8,1,1,0,8,1
2017/11/27,-1.1,8,1,2.3,8,1,-4.1,8,1,2,0,8,1
2017/11/28,5.2,8,1,10.8,8,1,-0.9,8,1,0,1,8,1
2017/11/29,7,8,1,12.7,8,1,-1.8,8,1,0,1,8,1
2017/11/30,-2.6,8,1,-1.3,8,1,-4.4,8,1,0,1,8,1
2017/12/1,-4.5,8,1,-1.9,8,1,-6.1,8,1,5,0,8,1
2017/12/2,-2.9,8,1,-0.4,8,1,-6.1,8,1,8,0,8,1
2017/12/3,1.3,8,1,5.4,8,1,-3.1,8,1,0,1,8,1
2017/12/4,1.1,8,1,4.3,8,1,-1.8,8,1,0,1,8,1
2017/12/5,-0.8,8,1,1.6,8,1,-3.7,8,1,6,0,8,1
2017/12/6,-4.1,8,1,-2.8,8,1,-5.8,8,1,17,0,8,1
2017/12/7,-3.1,8,1,-1.2,8,1,-5.9,8,1,0,1,8,1
2017/12/8,-3.4,8,1,-0.7,8,1,-7.8,8,1,5,0,8,1
2017/12/9,-4,8,1,-1.1,8,1,-7.7,8,1,6,0,8,1
